lat,lon,altitude_m,inside_receiver_hull,condition,linear_hrmse_0_25us_m,remote_branch_separation_us,mc_p50_0_1us_m,mc_p95_0_1us_m,mc_p50_0_25us_m,mc_p95_0_25us_m,mc_p50_0_5us_m,mc_p95_0_5us_m,mc_p50_1_0us_m,mc_p95_1_0us_m,class
17.7,105.6,10000,False,11.394874797982682,1868.0478078319,4.612648831265374,510.3961603839391,1375.7835506445795,1275.9904009598479,3439.4588766114484,2551.9808019196958,6878.917753222897,5103.9616038393915,13757.835506445794,POOR
17.7,105.7,10000,False,11.452848526679796,1681.91620726873,5.970832361023064,438.57737405591956,1228.6641511036294,1096.443435139799,3071.6603777590735,2192.886870279598,6143.320755518147,4385.773740559196,12286.641511036294,POOR
17.7,105.8,10000,False,11.623443397521248,1547.8710939301982,8.851913267332543,402.1576857725136,1141.9163971696366,1005.3942144312837,2854.7909929240914,2010.7884288625673,5709.581985848183,4021.5768577251347,11419.163971696365,POOR
17.7,105.9,10000,False,11.886103085158448,1452.7226086955761,10.740043540239151,376.10366270966836,1077.4100450625801,940.2591567741708,2693.5251126564503,1880.5183135483417,5387.050225312901,3761.0366270966833,10774.100450625801,POOR
17.7,106.0,10000,False,12.233377546681364,1388.1220345756076,8.32815727960884,362.3305121402601,1044.0838356966808,905.8262803506504,2610.209589241703,1811.652560701301,5220.419178483406,3623.305121402602,10440.838356966811,POOR
17.7,106.1,10000,False,12.666711895973554,1348.722748775499,6.421470583467307,350.9571847080281,1023.5394090538911,877.3929617700702,2558.848522634728,1754.7859235401404,5117.697045269456,3509.571847080281,10235.394090538912,POOR
17.7,106.2,10000,False,13.194636259320648,1331.227295259075,6.306549198268015,352.00861986732673,1017.5853642831499,880.0215496683169,2543.963410707875,1760.0430993366338,5087.92682141575,3520.0861986732675,10175.8536428315,POOR
17.7,106.3,10000,False,13.832449236086287,1333.8992622393323,8.33107831729264,349.91422325215177,1023.396601355546,874.7855581303793,2558.491503388865,1749.5711162607586,5116.98300677773,3499.142232521517,10233.96601355546,POOR
17.7,106.4,10000,False,14.603098272791659,1356.3524732298706,11.42804879258318,354.9437105532637,1043.8396008001084,887.3592763831593,2609.599002000271,1774.7185527663187,5219.198004000542,3549.4371055326374,10438.396008001084,POOR
17.7,106.5,10000,False,15.539350403795206,1399.5457097356746,11.725024684449782,365.8336727112063,1079.6993867700278,914.5841817780156,2699.24846692507,1829.1683635560312,5398.49693385014,3658.3367271120624,10796.99386770028,POOR
17.7,106.6,10000,False,16.68773944921158,1465.9834377861603,9.16979705918921,384.38815006275547,1132.969437974208,960.9703751568886,2832.42359493552,1921.9407503137772,5664.84718987104,3843.8815006275545,11329.69437974208,POOR
17.7,106.7,10000,False,18.11537286646198,1560.1921170087085,7.9421098313524086,406.90197173026144,1207.6372377984453,1017.2549293256536,3019.093094496113,2034.5098586513072,6038.186188992226,4069.0197173026145,12076.372377984451,POOR
17.7,106.8,10000,False,19.92182395179978,1689.6467670143113,6.359055409760838,441.0604777140227,1309.6019051800752,1102.6511942850566,3274.004762950188,2205.302388570113,6548.009525900376,4410.604777140226,13096.019051800751,POOR
