candidate_lat,candidate_lon,nearest_existing_km,best4_median_hrmse_0_25us_m,best4_p90_hrmse_0_25us_m,worst4_p90_hrmse_0_25us_m,full5_p90_hrmse_0_25us_m,best4_under_1km_fraction,inside_5rx_hull_fraction,four_visible_350km_fraction,five_visible_350km_fraction,is_mongcai,composite_score
22.2,104.4,357.09211555516174,120.53718323813493,485.6530738898662,3527.532131825883,473.42151589789404,0.9974937343358395,0.39849624060150374,0.7368421052631579,0.3333333333333333,False,68.93175074183976
21.6,105.0,287.102030863623,139.2790258532014,501.1204885629382,3547.4400059971786,489.62137538480243,0.9924812030075187,0.3208020050125313,0.7844611528822055,0.48872180451127817,False,68.87240356083086
17.4,106.8,193.42583807285922,186.42713877367459,432.6219109159444,2141.3525994119254,423.1433636335973,0.974937343358396,0.21553884711779447,0.7142857142857143,0.40350877192982454,False,68.87240356083085
19.8,108.9,128.29758824688082,175.75647830782066,426.136535882429,5072.961477969851,410.1711052488675,0.9699248120300752,0.20802005012531327,0.8270676691729323,0.5388471177944862,False,68.76854599406528
22.5,104.7,336.32440666216144,122.34449856155697,472.3607230691435,4103.255211695922,467.25290299133303,0.9949874686716792,0.40350877192982454,0.7493734335839599,0.3258145363408521,False,68.59050445103857
21.9,105.3,259.64852607007754,138.0778997070876,500.08287510838744,4221.487488712235,486.44475818529645,0.9799498746867168,0.3208020050125313,0.8095238095238095,0.48621553884711777,False,68.50148367952522
18.9,108.6,164.91319426112156,147.82840545348154,411.6939148287298,3292.6509915340953,393.2217412893627,0.9573934837092731,0.23809523809523808,0.8020050125313283,0.5162907268170426,False,68.486646884273
21.3,104.7,299.6740499027475,143.2827974991422,524.3596076909372,3212.8565207503702,512.9856481557412,0.9949874686716792,0.3308270676691729,0.7744360902255639,0.47619047619047616,False,68.4272997032641
18.0,107.7,231.34783326198018,158.43090136387562,471.6958868267031,2225.9523404332767,466.4094762110501,0.974937343358396,0.21553884711779447,0.7343358395989975,0.49122807017543857,False,68.30860534124629
21.3,105.0,286.5535415559341,149.1793066366781,520.9421575650563,3334.209646513821,500.39014797748837,0.9949874686716792,0.3082706766917293,0.7894736842105263,0.5263157894736842,False,68.26409495548961
22.5,104.4,365.6090032675222,120.91061909838022,482.49983363036097,3730.055985100759,467.1843866202194,0.9974937343358395,0.41102756892230574,0.7293233082706767,0.2907268170426065,False,68.1454005934718
21.0,105.0,258.43115360028025,160.52324795263115,536.5756631831034,3079.835111277133,517.0934801086545,0.9949874686716792,0.2907268170426065,0.7944862155388471,0.5488721804511278,False,67.96735905044511
21.6,104.4,342.03381309655623,131.2897132011759,513.9628981752111,3229.0386953889706,503.31088310432625,1.0,0.3558897243107769,0.7418546365914787,0.40350877192982454,False,67.96735905044511
21.3,105.6,224.40281436196895,183.80210906570056,513.4194255097694,4106.841560234537,505.1000822744729,0.9699248120300752,0.24561403508771928,0.8370927318295739,0.5964912280701754,False,67.71513353115726
17.7,107.1,192.48729215234826,180.6596441505433,452.3035298710906,2141.3525994119254,439.01690921317197,0.9774436090225563,0.20802005012531327,0.7167919799498746,0.46867167919799496,False,67.67062314540058
20.1,109.2,154.11014024292098,181.00928930954905,430.1923218408676,5072.320951176166,417.39855792964823,0.9699248120300752,0.20551378446115287,0.8195488721804511,0.49122807017543857,False,67.46290801186944
22.8,104.4,376.89317193704625,120.0523598153416,475.361275377077,4050.541102604999,469.5501047061336,0.9974937343358395,0.41604010025062654,0.7243107769423559,0.24812030075187969,False,67.3887240356083
21.6,105.6,225.1253118925243,159.81700745342408,513.5999788177436,4504.7286305797,505.2829818068002,0.9699248120300752,0.2606516290726817,0.8320802005012531,0.5588972431077694,False,67.31454005934718
20.7,105.3,218.964232246888,198.66343850216978,562.159796572531,3330.0773634630896,555.1277850322797,0.974937343358396,0.24060150375939848,0.8270676691729323,0.6115288220551378,False,67.21068249258161
22.2,105.3,267.3335685999599,129.5046687598811,485.1744067839745,4639.7398909272315,472.0130080521812,0.9799498746867168,0.3383458646616541,0.7994987468671679,0.44110275689223055,False,67.16617210682493
21.0,105.6,227.43599273819032,201.8468362659733,532.3547710829696,4191.968010016477,520.265885296786,0.9699248120300752,0.23057644110275688,0.8395989974937343,0.6215538847117794,False,66.98813056379822
21.3,104.4,311.5532823286843,141.06723488277663,538.7894499177812,3001.610785772011,527.6187796492082,1.0,0.3408521303258145,0.7443609022556391,0.43609022556390975,False,66.97329376854599
19.5,108.6,115.46739309580327,177.5275748194894,442.26748076037666,5017.105062818513,431.16864344603704,0.9649122807017544,0.20551378446115287,0.8320802005012531,0.568922305764411,False,66.94362017804154
22.5,105.0,307.3617882031204,125.47780737792576,488.97600842525327,4613.4188035039,476.2848509218533,0.9924812030075187,0.37343358395989973,0.7669172932330827,0.3558897243107769,False,66.88427299703264
17.7,106.5,147.5828970763249,214.96533983399482,443.13440208194794,2129.3475407016776,431.11857310613505,0.974937343358396,0.18546365914786966,0.7142857142857143,0.47117794486215536,False,66.78041543026706
17.4,106.5,175.41615394896485,196.3162730872685,435.27649650069395,2308.975015502845,420.01999500930344,0.974937343358396,0.19548872180451127,0.7142857142857143,0.39849624060150374,False,66.73590504451039
17.7,106.8,168.55919886509136,196.00913365444055,447.57649971406056,2225.9523404332767,442.4583142331277,0.974937343358396,0.19298245614035087,0.7142857142857143,0.47368421052631576,False,66.3946587537092
20.4,109.5,187.58990825979248,187.75482331063532,411.1397697413679,5808.300474805485,404.1724348352012,0.9699248120300752,0.19799498746867167,0.8120300751879699,0.43107769423558895,False,66.33531157270029
